Species,,,,,AGR,AGS,ASP,BAR,BOW,BOP,CRC,CPC,DFR,EPN,FEW,JPN,JUN,LAC,LPN,LSG,MCH,MCP,MHW,MHC,MRI,PJN,PPN,RFR,SMC,SCN,URB,VRI,VOW,WTM,WFR
Sorex monticolus,,,,,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.33,0.33,0.56,0.00,0.00,0.00,0.66,0.33
Sorex ornatus,,,,,0.00,0.50,0.00,0.00,0.41,0.41,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.40,0.83,0.00,0.56,0.00,0.40,0.00,0.00,0.82,0.41,0.50,0.00
Sorex palustris,,,,,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.33,0.00,0.20,0.38,0.00,0.00,0.00,0.00,0.33,0.96,0.00,0.00,0.58,0.55,0.41,0.00,0.00,0.00,0.62,0.55
Sorex trowbridgii,,,,,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.63,0.33,0.00,0.60,0.33,0.63,0.00,0.00,0.00,0.33,0.00,0.63
Otospermophilus beecheyi,,,,,1.00,1.00,0.59,0.33,0.60,0.62,0.59,0.54,0.35,0.52,0.00,0.52,0.36,0.00,0.36,0.36,0.56,0.55,0.59,0.56,0.54,0.65,0.54,0.36,0.51,0.38,1.00,0.50,0.60,0.66,0.51
Urocitellus beldingi,,,,,0.77,0.66,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.44,0.77,0.33,0.33,0.00,0.33,0.47,0.33,0.00,0.33,0.33,0.44,0.00,0.00,0.00,1.00,0.33
Callospermophilus lateralis,,,,,0.00,0.11,0.57,0.00,0.00,0.00,0.00,0.00,0.68,0.76,0.00,0.77,0.49,0.00,0.76,0.00,0.67,0.70,0.73,0.73,0.55,0.50,0.73,0.77,0.73,0.76,0.00,0.45,0.00,0.11,0.73
Tamias alpinus,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00
Tamias quadrimaculatus,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.74
Tamias senex,,,,,0.00,0.00,0.48,0.00,0.36,0.36,0.20,0.00,0.45,0.65,0.00,0.65,0.31,0.00,0.49,0.32,0.30,0.30,0.39,0.39,0.48,0.30,0.82,0.65,0.69,0.49,0.00,0.36,0.36,0.00,0.69
Tamias speciosus,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.79,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.52,0.33,0.00,0.00,0.00,0.00,0.52
Chaetodipus californicus,,,,,1.00,1.00,0.00,0.00,0.57,0.57,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.85,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00
Dipodomys heermanni,,,,,0.00,0.50,0.00,0.00,0.43,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.53,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.33,0.00
Neotoma cinerea,,,,,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.66,0.00,0.83,0.78,0.00,0.66,0.33,0.58,0.66,0.62,0.40,0.66,0.66,0.00,0.82,0.57,0.68,0.00,0.60,0.00,0.55,0.57
Neotoma macrotis,,,,,0.00,0.00,0.00,0.00,0.49,0.66,0.72,0.58,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.72,0.72,0.57,0.57,0.00,0.66,0.00,0.63,0.00,0.00,0.58,0.49,0.11,0.63
Peromyscus boylii,,,,,0.00,0.33,0.00,0.00,0.63,0.63,0.51,0.56,0.62,0.76,0.00,0.71,0.66,0.00,0.00,0.33,0.97,0.72,0.71,0.74,0.66,0.76,0.52,0.00,0.73,0.56,0.00,0.66,0.63,0.00,0.73
Peromyscus maniculatus,,,,,0.66,0.66,0.33,0.33,0.58,0.58,0.56,0.58,0.61,0.86,0.66,0.64,0.84,0.00,0.88,0.43,0.90,0.90,0.56,0.83,0.74,0.86,0.66,0.66,0.74,0.66,0.66,0.62,0.58,0.33,0.74
Peromyscus truei,,,,,0.00,0.55,0.00,0.00,0.00,0.00,0.56,0.00,0.66,0.66,0.00,0.00,0.86,0.00,0.00,0.33,0.72,0.77,0.66,0.70,0.58,0.86,0.66,0.00,0.58,0.00,0.00,0.64,0.00,0.33,0.58
Reithrodontomys megalotis,,,,,0.89,0.92,0.33,0.00,0.43,0.43,0.41,0.52,0.54,0.33,0.66,0.33,0.45,0.00,0.33,0.33,0.51,0.61,0.43,0.39,0.74,0.38,0.48,0.33,0.33,0.33,0.00,0.60,0.43,0.50,0.33
Microtus californicus,,,,,0.77,0.92,0.00,0.00,0.45,0.33,0.00,0.00,0.48,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.41,0.66,0.00,0.33,0.00,0.53,0.00,0.66,0.50,0.45,1.00,0.00
Microtus longicaudus,,,,,0.77,1.00,0.72,0.00,0.00,0.00,0.00,0.00,0.45,0.33,0.66,0.68,0.50,0.00,0.69,0.33,0.33,0.33,0.00,0.42,0.77,0.33,0.52,0.68,0.33,0.68,0.00,0.00,0.00,1.00,0.33
Microtus montanus,,,,,0.66,0.50,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.33,0.43,0.48,0.00,0.46,0.00,0.33,0.33,0.00,0.00,0.43,0.00,0.45,0.43,0.33,0.47,0.00,0.00,0.00,0.87,0.33
Zapus princeps,,,,,0.00,0.33,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.58,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.58,0.57,0.58,0.00,0.58,0.00,0.87,0.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
